date,ticker,offexchange_source_available,offexchange_fresh,offexchange_history_n,offexchange_dpi,offexchange_dpi_z60,offexchange_volume_z60,patent_source_available,patent_count_30,patent_count_90,patent_claims_90,patent_ai_share_90,patent_acceleration_90,patent_count_90_z252,patent_claims_90_z252,patent_drift_source_available,patent_drift,patent_drift_percentile_24m,patent_drift_change_3m,sec13f_source_available,sec13f_fresh,sec13f_window_days,sec13f_net_change_usd_45d,sec13f_gross_change_usd_45d,sec13f_net_usd_ratio_45d,sec13f_net_change_shares_45d,sec13f_gross_change_shares_45d,sec13f_net_share_ratio_45d,sec13f_adders_45d,sec13f_reducers_45d,sec13f_breadth_45d,sec13f_breadth_rate_45d,sec13f_filing_count_45d,sec13f_new_positions_45d,sec13f_full_exits_45d,sec13f_total_held_45d,sec13f_net_change_to_held_45d
2024-03-04,AAPL,1,1,43,0.349558,-1.3417,2.1982,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-05,AAPL,1,1,44,0.334964,-1.5196,2.5859,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-06,AAPL,1,1,45,0.328025,-1.5676,2.8262,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-07,AAPL,1,1,46,0.31962,-1.6327,0.9682,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-08,AAPL,1,1,47,0.300594,-1.8443,1.3858,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-11,AAPL,1,1,48,0.343816,-1.1537,1.291,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-12,AAPL,1,1,49,0.343816,-1.1261,1.2558,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-13,AAPL,1,1,50,0.370777,-0.7232,0.1099,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-14,AAPL,1,1,51,0.370777,-0.7122,0.1087,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-15,AAPL,1,1,52,0.394686,-0.3638,0.7171,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-18,AAPL,1,1,53,0.370019,-0.7114,0.6247,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-19,AAPL,1,1,54,0.370019,-0.7013,0.6165,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-20,AAPL,1,1,55,0.379321,-0.5578,-0.2731,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-21,AAPL,1,1,56,0.370969,-0.6721,-0.572,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-22,AAPL,1,1,57,0.36275,-0.783,3.5012,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-25,AAPL,1,1,58,0.320223,-1.393,0.9905,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-26,AAPL,1,1,59,0.320223,-1.3584,0.9737,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-27,AAPL,1,1,60,0.350444,-0.8913,-0.6443,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-28,AAPL,1,1,60,0.33309,-1.1283,-0.1781,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-29,AAPL,1,1,60,0.336414,-1.0747,-0.1234,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-01,AAPL,1,1,60,0.336414,-1.075,-0.1046,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-02,AAPL,1,1,60,0.369318,-0.5806,-1.027,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-03,AAPL,1,1,60,0.369318,-0.5713,-0.9939,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-04,AAPL,1,1,60,0.344568,-0.9044,-0.9229,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-05,AAPL,1,1,60,0.29892,-1.5339,-0.5457,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-08,AAPL,1,1,60,0.33539,-0.9802,-1.3147,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-09,AAPL,1,1,60,0.331365,-1.0169,-1.4659,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-10,AAPL,1,1,60,0.30081,-1.4138,-0.8752,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-11,AAPL,1,1,60,0.390688,-0.1642,-0.1962,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-12,AAPL,1,1,60,0.393838,-0.0922,2.2799,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-15,AAPL,1,1,60,0.393838,-0.0617,2.149,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-16,AAPL,1,1,60,0.480675,1.2467,0.6629,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-17,AAPL,1,1,60,0.435372,0.5878,1.2128,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-18,AAPL,1,1,60,0.390971,-0.0566,-0.2829,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-19,AAPL,1,1,60,0.486379,1.4864,-0.7316,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-22,AAPL,1,1,60,0.454694,1.0145,0.0728,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-23,AAPL,1,1,60,0.416279,0.4106,-0.9237,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-24,AAPL,1,1,60,0.460132,1.159,-1.1688,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-25,AAPL,1,1,60,0.469648,1.334,-1.1135,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-26,AAPL,1,1,60,0.49432,1.7852,-1.0872,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-29,AAPL,1,1,60,0.473591,1.4547,-1.0755,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-04-30,AAPL,1,1,60,0.407494,0.3661,0.7722,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-01,AAPL,1,1,60,0.407494,0.3586,0.7739,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-02,AAPL,1,1,60,0.461891,1.3224,-0.6942,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-03,AAPL,1,1,60,0.472187,1.4648,0.6945,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-06,AAPL,1,1,60,0.476329,1.4833,3.9329,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-07,AAPL,1,1,60,0.509036,2.0974,1.3195,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-08,AAPL,1,1,60,0.508444,2.0207,0.8953,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-09,AAPL,1,1,60,0.45918,1.1774,-1.2577,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-10,AAPL,1,1,60,0.437226,0.758,-0.5076,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-13,AAPL,1,1,60,0.302446,-1.5945,-0.779,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-14,AAPL,1,1,60,0.322261,-1.2054,0.5139,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-15,AAPL,1,1,60,0.347216,-0.7574,-1.0246,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-16,AAPL,1,1,60,0.342243,-0.8153,0.1562,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-17,AAPL,1,1,60,0.365394,-0.4044,-1.0134,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-20,AAPL,1,1,60,0.368533,-0.338,-2.2344,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-21,AAPL,1,1,60,0.531324,2.4502,-1.0247,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-22,AAPL,1,1,60,0.411886,0.3556,-0.8594,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-23,AAPL,1,1,60,0.411886,0.3523,-0.8393,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
