date,ticker,insider_buy_score,insider_sell_risk,insider_net_score,news_risk_score,news_positive_score,app_rating_trend,app_rating_risk,patent_momentum,event_risk,offense_boost,defense_veto,signal_expiry_date,source_counts
2026-06-30,PANW,0,0,0,0,0,0,0,6.2147,0,0.9322,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":14,""patents"":4}"
2026-06-30,OSK,0,0,0,0,0,0,0,3.9945,0,0.5992,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":7,""patents"":2}"
2026-06-30,SAP,0,0,0,0,0,0,0,10,0,1.8648,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":21,""patents"":6}"
2026-06-30,SONO,0,0,0,0,0,0,0,7.4949,0,1.1242,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":14,""patents"":3}"
2026-06-30,SNPS,0,0,0,0,0,0,0,1.5223,0,0.2283,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":7,""patents"":1}"
2026-06-30,TXN,0,0,0,0,0,0,0,10,0,5.1248,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":21,""patents"":17}"
2026-06-30,TTEK,0,0,0,0,0,0,0,1.2825,0,0.1924,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":14,""patents"":1}"
2026-06-30,WDC,0,0,0,0,0,0,0,1.6094,0,0.2414,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":32,""patents"":1}"
2026-06-30,VIAV,0,0,0,0,0,0,0,1.5223,0,0.2283,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":35,""patents"":1}"
2026-06-30,XYZ,0,0,0,0,0,0,0,6.589,0,0.9884,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":4}"
2026-06-30,XRX,0,0,0,0,0,0,0,1.5223,0,0.2283,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,WWD,0,0,0,0,0,0,0,1.4979,0,0.2247,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,WOLF,0,0,0,0,0,0,0,2.6094,0,0.3914,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,WMS,0,0,0,0,0,0,0,1.5223,0,0.2283,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,WKSP,0,0,0,0,0,0,0,1.3863,0,0.2079,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,WIX,0,0,0,0,0,0,0,1.4166,0,0.2125,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,WFRD,0,0,0,0,0,0,0,2.8047,0,0.4207,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":2}"
2026-06-30,VYX,0,0,0,0,0,0,0,1.5223,0,0.2283,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,VECO,0,0,0,0,0,0,0,2.9304,0,0.4396,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":2}"
2026-06-30,VCNX,0,0,0,0,0,0,0,1.5223,0,0.2283,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,UMC,0,0,0,0,0,0,0,10,0,1.5422,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":6}"
2026-06-30,TWST,0,0,0,0,0,0,0,1.354,0,0.2031,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,TTWO,0,0,0,0,0,0,0,2.5722,0,0.3858,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,TLSI,0,0,0,0,0,0,0,1.5455,0,0.2318,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,SYK,0,0,0,0,0,0,0,9.0949,0,1.3642,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":6}"
2026-06-30,SWTX,0,0,0,0,0,0,0,4.0336,0,0.605,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":2}"
2026-06-30,SWKS,0,0,0,0,0,0,0,8.4086,0,1.2613,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":5}"
2026-06-30,STX,0,0,0,0,0,0,0,3.99,0,0.5985,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":2}"
2026-06-30,SONY,0,0,0,0,0,0,0,10,0,3.3732,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":15}"
2026-06-30,SNY,0,0,0,0,0,0,0,2.9945,0,0.4492,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":2}"
2026-06-30,SNN,0,0,0,0,0,0,0,5.8565,0,0.8785,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":3}"
2026-06-30,SNA,0,0,0,0,0,0,0,3.2393,0,0.4859,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":2}"
2026-06-30,SLAB,0,0,0,0,0,0,0,1.5223,0,0.2283,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,SHYF,0,0,0,0,0,0,0,1.1513,0,0.1727,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,RZLV,0,0,0,0,0,0,0,1.5223,0,0.2283,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,RMBS,0,0,0,0,0,0,0,2.9945,0,0.4492,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":2}"
2026-06-30,REGN,0,0,0,0,0,0,0,5.039,0,0.7559,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":3}"
2026-06-30,RCUS,0,0,0,0,0,0,0,1.4722,0,0.2208,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,QGEN,0,0,0,0,0,0,0,1.354,0,0.2031,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,QCOM,0,0,0,0,0,0,0,10,0,10,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":66}"
2026-06-30,PYPL,0,0,0,0,0,0,0,7.6113,0,1.1417,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":5}"
2026-06-30,PXLW,0,0,0,0,0,0,0,1.5223,0,0.2283,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,PNC,0,0,0,0,0,0,0,1.717,0,0.2575,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,PLSE,0,0,0,0,0,0,0,3.5105,0,0.5266,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":2}"
2026-06-30,PHG,0,0,0,0,0,0,0,10,0,1.7391,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":8}"
2026-06-30,PEN,0,0,0,0,0,0,0,1.5677,0,0.2352,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,ORAN,0,0,0,0,0,0,0,1.354,0,0.2031,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,OMIC,0,0,0,0,0,0,0,3.1345,0,0.4702,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":2}"
2026-06-30,NVS,0,0,0,0,0,0,0,1.2825,0,0.1924,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,NIO,0,0,0,0,0,0,0,2.4722,0,0.3708,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,NCSM,0,0,0,0,0,0,0,2.6223,0,0.3933,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,MU,0,0,0,0,0,0,0,10,0,6.8036,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":28}"
2026-06-30,MTD,0,0,0,0,0,0,0,1.4166,0,0.2125,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,MSI,0,0,0,0,0,0,0,4.9923,0,0.7489,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":3}"
2026-06-30,MDGL,0,0,0,0,0,0,0,2.617,0,0.3925,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,LWLG,0,0,0,0,0,0,0,1.0397,0,0.156,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,LTRX,0,0,0,0,0,0,0,1.5223,0,0.2283,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,LRCX,0,0,0,0,0,0,0,10,0,1.5079,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":6}"
2026-06-30,LEA,0,0,0,0,0,0,0,1.5223,0,0.2283,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,KRRO,0,0,0,0,0,0,0,1.7006,0,0.2551,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,KLAC,0,0,0,0,0,0,0,1.7329,0,0.2599,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,JBTM,0,0,0,0,0,0,0,1.0397,0,0.156,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,ITRI,0,0,0,0,0,0,0,2.5223,0,0.3783,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,IONQ,0,0,0,0,0,0,0,1.1989,0,0.1798,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,INTC,0,0,0,0,0,0,0,10,0,10,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":40}"
2026-06-30,INO,0,0,0,0,0,0,0,1.3195,0,0.1979,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,ILMN,0,0,0,0,0,0,0,7.5766,0,1.1365,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":5}"
2026-06-30,ICE,0,0,0,0,0,0,0,1.6836,0,0.2525,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,IBM,0,0,0,0,0,0,0,10,0,10,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":50}"
